"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EVI","EVI Industries, Inc.","36.49","$428.26M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/evi",
"EPM","Evolution Petroleum Corporation, Inc.","6.84","$227M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/epm",
"FEN","First Trust Energy Income and Growth Fund","21.97","$439.06M","2004","n/a","n/a","https://www.nasdaq.com/symbol/fen",
"BDL","Flanigan&#39;s Enterprises, Inc.","23.31","$43.33M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/bdl",
"FSI","Flexible Solutions International Inc.","4.05","$47.53M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/fsi",
"FTF","Franklin Limited Duration Income Trust","9.655","$290.99M","2003","n/a","n/a","https://www.nasdaq.com/symbol/ftf",
"FSP","Franklin Street Properties Corp.","7.89","$846.05M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/fsp",
"FRD","Friedman Industries Inc.","6.84","$47.94M","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/frd",
"FTNW","FTE Networks, Inc.","1.32","$32.45M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/ftnw",
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","4.5","$613.47M","2005","n/a","n/a","https://www.nasdaq.com/symbol/ggn",
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","24.1523","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ggn^b",
"JOB","GEE Group Inc.","0.88","$10.61M","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/job",
"GMO","General Moly, Inc","0.343","$41.27M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/gmo",
"GSB","GlobalSCAPE, Inc.","10.17","$175.12M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/gsb",
"GSAT","Globalstar, Inc.","0.56","$812.06M","2006","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/gsat",
"GLOW","Glowpoint, Inc.","0.84","$4.28M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/glow",
"GORO","Gold Resource Corporation","3.2","$199.71M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/goro",
"GSV","Gold Standard Ventures Corporation","1.1","$286.05M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/gsv",
"AUMN","Golden Minerals Company","0.29","$28.2M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aumn",
"GSS","Golden Star Resources, Ltd","4","$435.47M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/gss",
"GV","Goldfield Corporation (The)","2.35","$57.63M","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/gv",
"GDP","Goodrich Petroleum Corporation","11.01","$133.8M","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/gdp",
"GTE","Gran Tierra Energy Inc.","1.69","$652.91M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/gte",
"GPL","Great Panther Mining Limited","0.8121","$226.25M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/gpl",
"SIM","Grupo Simec, S.A. de C.V.","7.86","$1.29B","1993","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sim",
"HEB","Hemispherx BioPharma, Inc.","4.03","$8.87M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/heb",
"HEXO","HEXO Corp.","5.83","$1.5B","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/hexo",
"HLM^","Hillman Group Capital Trust","33.3191","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hlm^",
"HMG","HMG/Courtland Properties, Inc.","13.17","$13.35M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/hmg",
"HUSA","Houston American Energy Corporation","0.2209","$13.81M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/husa",
"IBIO","iBio, Inc.","0.8139","$16.04M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ibio",
"IBO","IBO (Listing Market - NYSE Amex Network B F)","24.84","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibo",
"IEC","IEC Electronics Corp.","6.42","$66.21M","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/iec",
"IMH","Impac Mortgage Holdings, Inc.","3.31","$70.11M","1997","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/imh",
"IMO","Imperial Oil Limited","28.36","$22.09B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/imo",
"IOR","Income Opportunity Realty Investors, Inc.","12.4705","$51.98M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ior",
"IGC","India Globalization Capital Inc.","1.42","$56.11M","n/a","Technology","Electronic Components","https://www.nasdaq.com/symbol/igc",
"INFU","InfuSystems Holdings, Inc.","4.57","$90.04M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/infu",
"IHT","InnSuites Hospitality Trust","1.53","$14.65M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/iht",
"NSPR","InspireMD Inc.","3.54","$4.95M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/nspr",
"NSPR.WS","InspireMD Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nspr.ws",
"NSPR.WS.B","InspireMD Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nspr.ws.b",
"IDN","Intellicheck, Inc.","5.08","$79.98M","1999","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/idn",
"INS","Intelligent Systems Corporation","27.43","$242.78M","1992","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ins",
"THM","International Tower Hill Mines Ltd","0.5847","$109.4M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/thm",
"INTT","inTest Corporation","4.8","$50.74M","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/intt",
"INUV","Inuvo, Inc","0.5179","$16.87M","n/a","Consumer Services","Advertising","https://www.nasdaq.com/symbol/inuv",
"VKI","Invesco Advantage Municipal Income Trust II","10.85","$481.65M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vki",
"ISR","IsoRay, Inc.","0.42","$28.28M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/isr",
"ISDR","Issuer Direct Corporation","11.5","$44.33M","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/isdr",
"ITP","IT Tech Packaging, Inc.","0.829","$18.26M","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/itp",
"KIQ","Kelso Technologies Inc","1.43","$67.1M","n/a","Capital Goods","Railroads","https://www.nasdaq.com/symbol/kiq",
"LTS","Ladenburg Thalmann Financial Services Inc","3.56","$529.37M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/lts",
"LTS^A","Ladenburg Thalmann Financial Services Inc","24.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lts^a",
"LTSH","Ladenburg Thalmann Financial Services Inc","25.35","n/a","2019","n/a","n/a","https://www.nasdaq.com/symbol/ltsh",
"LTSK","Ladenburg Thalmann Financial Services Inc","24.7","n/a","2018","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ltsk",
"LTSL","Ladenburg Thalmann Financial Services Inc","23.71","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ltsl",
"LTSF","Ladenburg Thalmann Financial Services Inc.","24.4","n/a","2018","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ltsf",
"LGL","LGL Group, Inc. (The)","8","$38.98M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lgl",
"LBY","Libbey, Inc.","1.71","$38.09M","1993","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lby",
"LLEX","Lilis Energy, Inc.","0.62","$56.85M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/llex",
"MAG","MAG Silver Corporation","11.46","$980.28M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/mag",
"MHH","Mastech Digital, Inc","4.9438","$54.39M","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/mhh",
"MTNB","Matinas Biopharma Holdings, Inc.","0.83","$118.68M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mtnb",
"MNI","McClatchy Company (The)","2.94","$23.3M","1988","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/mni",
"IPB","Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate","26.8672","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ipb",
"MXC","Mexco Energy Corporation","3.8924","$7.94M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/mxc",
"CCA","MFS California Insured Municipal Trust","11.715","$32.64M","1999","n/a","n/a","https://www.nasdaq.com/symbol/cca",
"MICR","Micron Solutions, Inc.","2.6","$7.47M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/micr",
"MLSS","Milestone Scientific, Inc.","0.3434","$14.02M","2015","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/mlss",
"MYO","Myomo Inc.","0.86","$14.7M","2017","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/myo",
"NNVC","NanoViricides, Inc.","0.248","$19.03M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/nnvc",
"ATEST","NASDAQ TEST STOCK","25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/atest",
"ATEST.A","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/atest.a",
"ATEST.B","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/atest.b",
"ATEST.C","NASDAQ TEST STOCK","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/atest.c",
"NHC","National HealthCare Corporation","80.72","$1.24B","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/nhc",
"NAVB","Navidea Biopharmaceuticals, Inc.","0.7099","$12.82M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/navb",
"NTIP","Network-1 Technologies, Inc.","2.39","$56.81M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/ntip",
"NBW","Neuberger Berman California Municipal Fund Inc","13.54","$75.16M","2002","n/a","n/a","https://www.nasdaq.com/symbol/nbw",
"NHS","Neuberger Berman High Yield Strategies Fund","11.81","$230.77M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nhs",
"NML","Neuberger Berman MLP and Energy Income Fund Inc.","7.46","$422.68M","2013","n/a","n/a","https://www.nasdaq.com/symbol/nml",
"NBH","Neuberger Berman Municipal Fund Inc.","14.55","$273.6M","2002","n/a","n/a","https://www.nasdaq.com/symbol/nbh",
"NBO","Neuberger Berman New York Municipal Fund Inc.","12.21","$61.99M","2002","n/a","n/a","https://www.nasdaq.com/symbol/nbo",
"NRO","Neuberger Berman Real Estate Securities Income Fund, Inc.","5.23","$248M","2003","n/a","n/a","https://www.nasdaq.com/symbol/nro",
"GBR","New Concept Energy, Inc","1.74","$8.93M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/gbr",
"NEN","New England Realty Associates Limited Partnership","59.9812","$220.59M","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/nen",
"NGD","New Gold Inc.","0.7049","$408.22M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ngd",
"NXE","Nexgen Energy Ltd.","1.57","$554.42M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/nxe",
"HLTH","Nobilis Health Corp.","0.1386","$10.85M","2015","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/hlth",
"NAK","Northern Dynasty Minerals, Ltd.","0.4503","$155.64M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/nak",
"NOG","Northern Oil and Gas, Inc.","2.15","$829.36M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nog",
"NBY","NovaBay Pharmaceuticals, Inc.","2.04","$39.11M","2007","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/nby",
"NG","Novagold Resources Inc.","5.19","$1.69B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ng",
"NRCG","NRC Group Holdings Corp.","8.69","$330.66M","2017","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/nrcg",
"NRCG.WS","NRC Group Holdings Corp.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nrcg.ws",
"NTN","NTN Buzztime, Inc.","3.32","$9.56M","n/a","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/ntn",
"NES","Nuverra Environmental Solutions, Inc.","4.35","$68.33M","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/nes",
"OCX","OncoCyte Corporation","3.61","$187.62M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/ocx",
"OGEN","Oragenics Inc.","0.4845","$22.35M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ogen",
"PCG^A","Pacific Gas & Electric Co.","25.78","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","23.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","21.25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","21.26","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","21","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","20","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","19.25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","19.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^i",
"PTN","Palatin Technologies, Inc.","1.28","$259.92M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ptn",
"PZG","Paramount Gold Nevada Corp.","0.7701","$20.42M","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/pzg",
"PRK","Park National Corporation","97.87","$1.63B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/prk",
